account_id,customer_id,branch_id,account_type,status,open_date,balance,currency,interest_rate
ACC00000106,CUST0004397,BR0008,Savings,Active,2022-09-09,16898.33,INR,6.0
ACC00000107,CUST0007097,BR0028,Savings,Active,2022-08-24,91149.78,INR,5.05
ACC00000108,CUST0001698,BR0022,Current,Active,2021-11-09,27579.62,USD,3.5
ACC00000109,CUST0008130,BR0016,NRI,Active,2019-02-15,8443.76,INR,6.56
ACC00000110,CUST0008095,BR0012,Savings,Closed,2023-09-14,22557.02,INR,6.6
ACC00000111,CUST0007123,BR0049,Savings,Active,2021-07-26,74628.74,INR,3.39
ACC00000112,CUST0009239,BR0017,Savings,Active,2024-11-23,17165.32,INR,3.96
ACC00000113,CUST0009282,BR0021,Savings,Active,2019-08-27,1156.66,INR,2.83
ACC00000114,CUST0001419,BR0007,Savings,Dormant,2020-02-08,4083.97,INR,6.11
ACC00000115,CUST0003049,BR0020,Current,Active,2023-11-22,7278.17,INR,5.93
ACC00000116,CUST0008762,BR0036,Savings,Dormant,2026-01-17,11371.6,INR,6.63
ACC00000117,CUST0007161,BR0041,FD,Active,2021-11-28,34260.08,INR,4.48
ACC00000118,CUST0008221,BR0044,Current,Active,2020-02-01,59230.9,INR,5.18
ACC00000119,CUST0007644,BR0013,NRI,Active,2019-11-14,1004.09,INR,7.3
ACC00000120,CUST0000641,BR0041,Savings,Active,2024-03-05,1726.89,INR,2.5
ACC00000121,CUST0007202,BR0029,FD,Active,2020-03-28,282844.46,INR,4.31
ACC00000122,CUST0006419,BR0043,Current,Active,2024-04-13,26312.43,INR,4.72
ACC00000123,CUST0006488,BR0037,Savings,Active,2025-03-11,36635.22,EUR,5.94
ACC00000124,CUST0004776,BR0008,Savings,Active,2024-08-27,25623.91,INR,5.57
ACC00000125,CUST0001986,BR0020,Savings,Active,2025-12-03,191577.6,USD,3.56
ACC00000126,CUST0004817,BR0044,Savings,Active,2018-03-11,8568.74,INR,3.43
ACC00000127,CUST0004168,BR0048,FD,Active,2021-05-21,1661.86,INR,6.86
ACC00000128,CUST0002030,BR0010,Savings,Active,2019-10-14,1582.87,INR,5.17
ACC00000129,CUST0007313,BR0015,RD,Active,2022-02-21,9800.14,INR,5.43
ACC00000130,CUST0007206,BR0012,Savings,Active,2021-12-06,10977.77,USD,3.25
ACC00000131,CUST0008666,BR0046,Current,Active,2018-04-17,4257.67,INR,3.84
ACC00000132,CUST0005117,BR0045,Current,Active,2026-02-18,16179.26,INR,3.5
ACC00000133,CUST0000171,BR0016,Current,Active,2021-03-20,6051.36,INR,4.72
ACC00000134,CUST0003245,BR0042,Current,Active,2024-05-29,20419.45,INR,4.55
ACC00000135,CUST0002472,BR0008,Savings,Dormant,2025-06-19,9204.21,INR,4.97
ACC00000136,CUST0007032,BR0020,RD,Active,2020-07-31,382399.46,INR,6.09
ACC00000137,CUST0005976,BR0014,Current,Active,2022-11-28,13217.24,INR,3.55
ACC00000138,CUST0001246,BR0037,Current,Active,2024-12-25,44681.31,INR,6.9
ACC00000139,CUST0007770,BR0026,Savings,Active,2019-02-16,6220.31,INR,3.97
ACC00000140,CUST0008990,BR0038,Savings,Active,2020-01-25,19869.76,INR,7.16
ACC00000141,CUST0006020,BR0041,Savings,Active,2022-02-18,1044.96,INR,5.46
ACC00000142,CUST0005568,BR0045,NRI,Active,2020-02-20,303036.44,EUR,4.73
ACC00000143,CUST0000322,BR0029,Current,Dormant,2022-01-30,892.99,INR,5.08
ACC00000144,CUST0003935,BR0013,NRI,Dormant,2025-08-26,13229.04,INR,6.34
ACC00000145,CUST0007320,BR0034,Current,Active,2022-01-20,23964.36,USD,5.04
ACC00000146,CUST0003896,BR0022,Savings,Active,2018-09-26,294.2,INR,3.38
ACC00000147,CUST0009261,BR0045,Savings,Active,2025-11-27,18978.21,INR,6.72
ACC00000148,CUST0007164,BR0026,Savings,Active,2026-01-22,43956.83,INR,8.28
ACC00000149,CUST0008516,BR0034,FD,Active,2022-07-09,76816.5,EUR,3.48
ACC00000150,CUST0006556,BR0047,Savings,Dormant,2021-05-16,85447.58,INR,4.21
ACC00000151,CUST0003333,BR0024,Current,Active,2018-11-21,27630.56,INR,7.36
ACC00000152,CUST0005339,BR0021,Current,Closed,2023-12-25,6421.66,INR,7.2
ACC00000153,CUST0002668,BR0031,Current,Active,2024-01-02,737510.13,INR,2.91
ACC00000154,CUST0008837,BR0012,FD,Active,2018-06-09,11077.08,INR,4.8
ACC00000155,CUST0003845,BR0042,Current,Active,2025-10-11,232202.06,INR,7.93
ACC00000156,CUST0009904,BR0024,Savings,Active,2023-02-20,29687.75,INR,5.49
ACC00000157,CUST0009033,BR0021,Savings,Active,2018-08-07,25027.44,INR,3.46
ACC00000158,CUST0008495,BR0004,Savings,Active,2019-05-27,97382.45,INR,4.95
ACC00000159,CUST0003262,BR0025,RD,Active,2025-03-13,45978.93,INR,8.41
ACC00000160,CUST0003761,BR0008,Savings,Active,2022-10-24,12532.42,INR,4.32
ACC00000161,CUST0005080,BR0036,Savings,Active,2022-06-07,1354.36,INR,3.14
ACC00000162,CUST0007003,BR0034,Current,Active,2020-12-16,133276.11,INR,4.63
ACC00000163,CUST0000336,BR0050,Savings,Active,2018-09-01,9620.77,INR,2.64
ACC00000164,CUST0001879,BR0050,Current,Active,2022-12-29,16989.22,INR,5.48
ACC00000165,CUST0001853,BR0046,Current,Dormant,2018-06-23,6090.92,INR,7.16
ACC00000166,CUST0004756,BR0027,Savings,Active,2023-07-13,2870.35,INR,6.14
ACC00000167,CUST0002001,BR0028,Savings,Active,2023-08-12,17266.26,INR,4.86
ACC00000168,CUST0005239,BR0029,FD,Active,2019-04-19,6595.52,INR,4.07
ACC00000169,CUST0007789,BR0029,Savings,Active,2022-12-31,48377.89,INR,3.23
ACC00000170,CUST0002130,BR0010,Savings,Dormant,2021-07-08,18147.9,INR,4.59
ACC00000171,CUST0005133,BR0044,Current,Active,2025-11-09,513282.8,INR,4.33
ACC00000172,CUST0000969,BR0032,Savings,Dormant,2024-01-28,13057.36,INR,5.57
ACC00000173,CUST0002526,BR0008,Savings,Active,2018-12-28,40738.17,INR,3.69
ACC00000174,CUST0002347,BR0017,Savings,Active,2022-01-26,749441.89,INR,5.21
ACC00000175,CUST0000750,BR0012,Savings,Active,2024-08-11,10194.72,INR,6.29
ACC00000176,CUST0009492,BR0026,FD,Dormant,2022-06-02,1229.33,INR,7.85
ACC00000177,CUST0008496,BR0003,Savings,Dormant,2019-11-01,15677.62,INR,3.86
ACC00000178,CUST0002916,BR0042,Current,Active,2022-11-27,20135.51,INR,4.66
ACC00000179,CUST0005957,BR0011,Current,Active,2025-12-15,59468.38,INR,5.3
ACC00000180,CUST0003345,BR0014,Savings,Active,2022-04-18,248082.88,USD,6.41
ACC00000181,CUST0007580,BR0007,Savings,Dormant,2021-03-16,15727.45,INR,5.5
ACC00000182,CUST0008228,BR0026,Savings,Dormant,2019-04-28,31569.2,INR,3.22
ACC00000183,CUST0003550,BR0037,Savings,Active,2022-02-15,835.15,INR,5.63
ACC00000184,CUST0005622,BR0033,NRI,Active,2025-11-27,55454.89,INR,7.55
ACC00000185,CUST0006726,BR0044,Savings,Active,2025-07-31,33130.35,INR,3.93
ACC00000186,CUST0001434,BR0048,Savings,Active,2024-11-01,3769.12,INR,2.68
ACC00000187,CUST0000081,BR0032,FD,Active,2023-12-24,2777949.09,INR,7.79
ACC00000188,CUST0009695,BR0038,FD,Active,2024-09-06,33259.81,INR,3.95
ACC00000189,CUST0005506,BR0020,Current,Active,2019-01-18,16875.87,INR,7.24
ACC00000190,CUST0003512,BR0010,Savings,Active,2022-09-09,8342.28,INR,6.54
ACC00000191,CUST0006179,BR0015,Current,Dormant,2020-01-06,138975.01,INR,3.42
ACC00000192,CUST0002943,BR0015,Savings,Dormant,2018-09-28,17138.98,INR,5.57
ACC00000193,CUST0008987,BR0006,FD,Active,2020-05-01,43209.79,INR,4.48
ACC00000194,CUST0009923,BR0025,Savings,Active,2023-11-04,13064.12,INR,7.91
ACC00000195,CUST0008376,BR0001,FD,Active,2018-08-13,20837.48,INR,6.52
ACC00000196,CUST0004654,BR0006,Current,Active,2024-12-19,20788.32,INR,6.25
ACC00000197,CUST0009364,BR0013,Current,Active,2020-07-13,18950.55,INR,3.53
ACC00000198,CUST0002043,BR0011,Current,Active,2019-02-13,30993.19,INR,8.31
ACC00000199,CUST0001288,BR0024,Savings,Active,2021-11-06,6928.88,INR,3.29
ACC00000200,CUST0003561,BR0020,Savings,Active,2019-06-24,188394.72,INR,6.94
ACC00000201,CUST0007794,BR0026,FD,Active,2023-10-04,27390.73,INR,8.2
ACC00000202,CUST0000282,BR0025,Savings,Active,2018-05-10,105322.89,USD,5.19
ACC00000203,CUST0004711,BR0012,Current,Dormant,2020-09-25,50247.45,INR,4.18
ACC00000204,CUST0007774,BR0046,Current,Active,2023-02-02,2775.94,INR,6.22
ACC00000205,CUST0008609,BR0009,FD,Active,2024-12-05,391274.25,INR,6.24
ACC00000206,CUST0000317,BR0045,Savings,Closed,2019-07-02,34891.9,INR,6.41
ACC00000207,CUST0002964,BR0036,RD,Dormant,2021-10-11,4510.62,INR,6.29
ACC00000208,CUST0001092,BR0009,NRI,Active,2022-01-31,231679.83,INR,2.78
ACC00000209,CUST0005079,BR0033,Savings,Dormant,2020-03-09,1786.72,INR,3.32
ACC00000210,CUST0003886,BR0040,Current,Closed,2020-08-09,251303.21,EUR,5.44
ACC00000211,CUST0005600,BR0034,Current,Active,2023-09-21,17604.2,INR,5.4
ACC00000212,CUST0000677,BR0024,Savings,Active,2024-04-12,78863.97,USD,4.92
ACC00000213,CUST0001125,BR0045,Savings,Active,2021-02-14,46528.52,INR,7.12
ACC00000214,CUST0001114,BR0045,Savings,Active,2018-09-29,2988.57,INR,3.18
ACC00000215,CUST0001973,BR0033,Current,Active,2025-01-31,7652.31,INR,5.54
ACC00000216,CUST0007768,BR0033,Savings,Active,2023-04-06,25637.9,INR,3.99
ACC00000217,CUST0004223,BR0029,Current,Dormant,2019-05-07,27117.84,INR,5.75
ACC00000218,CUST0004715,BR0038,Savings,Active,2018-08-24,35081.96,INR,5.72
ACC00000219,CUST0004930,BR0048,Savings,Dormant,2024-03-07,103081.46,INR,2.53
ACC00000220,CUST0009615,BR0049,FD,Active,2018-06-24,2125.66,INR,5.46
ACC00000221,CUST0007662,BR0013,Savings,Active,2024-08-09,132957.81,INR,4.27
ACC00000222,CUST0007144,BR0018,Savings,Active,2020-09-28,9111.34,INR,6.1
ACC00000223,CUST0008948,BR0035,Current,Active,2021-02-08,19904.95,INR,3.0
ACC00000224,CUST0004872,BR0047,Current,Active,2021-05-04,191685.09,INR,8.28
ACC00000225,CUST0003837,BR0002,Savings,Active,2024-08-21,9462.28,INR,7.3
ACC00000226,CUST0007310,BR0025,Savings,Active,2024-11-20,170364.18,INR,7.06
ACC00000227,CUST0007382,BR0006,Current,Active,2024-06-24,3841.2,INR,5.94
ACC00000228,CUST0004475,BR0025,Current,Active,2018-04-07,118462.52,INR,4.52
ACC00000229,CUST0008684,BR0020,RD,Active,2022-10-19,25959.01,INR,6.42
ACC00000230,CUST0000684,BR0014,Savings,Active,2021-07-02,18237.68,INR,8.02
ACC00000231,CUST0001976,BR0050,FD,Active,2024-11-13,21282.59,INR,8.04
ACC00000232,CUST0000304,BR0004,NRI,Dormant,2019-11-07,10102.18,INR,5.79
ACC00000233,CUST0001953,BR0008,FD,Active,2022-09-10,1902.07,INR,8.0
ACC00000234,CUST0003570,BR0034,RD,Active,2021-05-31,437479.66,INR,6.45
ACC00000235,CUST0007910,BR0028,Savings,Active,2019-12-29,56646.67,INR,5.41
ACC00000236,CUST0004005,BR0002,NRI,Closed,2025-10-19,5647.72,INR,8.33
ACC00000237,CUST0006066,BR0017,Current,Active,2018-08-03,101752.97,INR,5.24
ACC00000238,CUST0009453,BR0004,Savings,Active,2023-01-06,6110.2,INR,8.14
ACC00000239,CUST0007398,BR0048,Current,Active,2020-03-28,10593.48,INR,3.85
ACC00000240,CUST0001031,BR0034,Current,Active,2019-03-18,18590.17,EUR,4.66
ACC00000241,CUST0005827,BR0027,Current,Active,2019-05-28,384356.12,INR,6.82
ACC00000242,CUST0004352,BR0019,FD,Active,2025-01-14,6031.66,INR,4.87
ACC00000243,CUST0009387,BR0028,Current,Active,2019-11-19,24816.5,INR,4.23
ACC00000244,CUST0007720,BR0038,Savings,Active,2020-10-18,19169.5,INR,4.28
ACC00000245,CUST0008426,BR0034,Savings,Active,2026-01-23,75657.33,INR,3.4
ACC00000246,CUST0001719,BR0032,Savings,Active,2023-06-24,30128.1,INR,2.87
ACC00000247,CUST0000493,BR0041,Savings,Active,2019-02-12,1334.15,INR,7.89
ACC00000248,CUST0002015,BR0031,Current,Active,2019-10-07,6856.77,INR,6.17
ACC00000249,CUST0008030,BR0006,Savings,Active,2021-07-23,42298.1,INR,5.51
ACC00000250,CUST0007535,BR0006,Savings,Active,2023-11-14,87276.17,INR,6.7
ACC00000251,CUST0008537,BR0028,Savings,Active,2026-02-06,72513.03,INR,7.85
ACC00000252,CUST0005887,BR0008,Savings,Active,2018-07-29,14475.72,INR,4.48
ACC00000253,CUST0007628,BR0001,Current,Closed,2021-02-05,38812.81,INR,5.5
ACC00000254,CUST0008457,BR0016,Savings,Active,2022-09-15,15748.65,INR,2.78
ACC00000255,CUST0001673,BR0042,FD,Active,2023-05-31,12447.63,INR,7.18
ACC00000256,CUST0003648,BR0019,Current,Active,2020-01-18,156721.06,INR,2.92
ACC00000257,CUST0006389,BR0018,Savings,Active,2024-01-20,78101.97,INR,5.02
ACC00000258,CUST0008621,BR0030,Savings,Active,2022-08-24,13762.16,USD,6.81
ACC00000259,CUST0003163,BR0016,Current,Active,2026-02-09,235056.22,INR,5.14
ACC00000260,CUST0002911,BR0033,Current,Active,2026-01-13,19319.58,INR,5.32
ACC00000261,CUST0008646,BR0028,FD,Active,2019-02-26,4407.73,INR,7.71
ACC00000262,CUST0008541,BR0047,Savings,Active,2021-05-17,45374.95,INR,4.83
ACC00000263,CUST0008614,BR0016,FD,Active,2019-11-23,31510.39,INR,8.38
ACC00000264,CUST0006634,BR0011,FD,Dormant,2025-05-03,73798.29,EUR,6.78
ACC00000265,CUST0000582,BR0006,FD,Dormant,2020-05-17,4093.82,EUR,7.18
ACC00000266,CUST0002663,BR0014,Savings,Active,2021-11-24,2669.52,INR,3.48
ACC00000267,CUST0005353,BR0048,Savings,Dormant,2023-04-05,45651.25,INR,6.3
ACC00000268,CUST0004259,BR0036,Current,Closed,2019-03-25,2491.86,INR,3.88
ACC00000269,CUST0006924,BR0022,NRI,Active,2021-06-14,10407.28,INR,3.77
ACC00000270,CUST0006829,BR0040,Savings,Dormant,2024-07-08,4077.1,INR,7.97
ACC00000271,CUST0009222,BR0023,Current,Active,2018-03-25,7951.82,INR,3.82
ACC00000272,CUST0001325,BR0031,Savings,Active,2022-05-17,40788.19,INR,6.53
ACC00000273,CUST0000101,BR0028,NRI,Active,2018-07-11,100985.8,INR,3.46
ACC00000274,CUST0000416,BR0019,FD,Active,2018-12-22,1269.6,INR,8.48
ACC00000275,CUST0005060,BR0022,Savings,Active,2019-12-11,45293.5,INR,2.89
ACC00000276,CUST0009576,BR0001,Savings,Active,2024-05-26,3756.9,INR,4.12
ACC00000277,CUST0001044,BR0003,Savings,Active,2022-11-25,1714.92,INR,7.41
ACC00000278,CUST0001747,BR0008,Current,Active,2023-11-03,16981.84,INR,6.8
ACC00000279,CUST0004492,BR0013,Current,Active,2022-02-07,81754.67,INR,7.75
ACC00000280,CUST0007658,BR0001,FD,Dormant,2024-06-03,66122.92,INR,6.31
ACC00000281,CUST0004444,BR0029,NRI,Active,2018-07-10,67203.16,INR,6.28
ACC00000282,CUST0009481,BR0013,Savings,Active,2021-01-12,47926.72,USD,5.7
ACC00000283,CUST0004861,BR0042,Savings,Active,2021-02-16,126942.51,INR,5.24
ACC00000284,CUST0004171,BR0029,Savings,Active,2024-12-30,122082.09,INR,4.88
ACC00000285,CUST0004149,BR0030,Current,Dormant,2022-11-22,507422.66,INR,6.71
ACC00000286,CUST0007454,BR0016,Current,Dormant,2023-09-29,2410.06,INR,4.27
ACC00000287,CUST0006210,BR0041,Savings,Active,2025-06-22,30679.03,INR,4.84
ACC00000288,CUST0000038,BR0034,Savings,Active,2020-04-03,437318.48,INR,5.4
ACC00000289,CUST0008958,BR0040,Current,Active,2018-03-20,64257.29,USD,3.8
ACC00000290,CUST0004807,BR0003,Current,Active,2023-02-12,37233.12,USD,6.12
ACC00000291,CUST0004844,BR0029,Current,Active,2022-05-11,1888.32,INR,6.51
ACC00000292,CUST0000116,BR0030,Savings,Active,2022-05-26,1078.53,USD,2.59
ACC00000293,CUST0007765,BR0034,Savings,Active,2018-11-05,7629.16,INR,3.63
ACC00000294,CUST0000279,BR0004,Savings,Active,2019-02-09,108572.73,INR,5.08
ACC00000295,CUST0000454,BR0048,FD,Active,2025-01-28,16484.1,INR,6.29
ACC00000296,CUST0003214,BR0008,Savings,Active,2022-12-25,7760.55,INR,6.13
ACC00000297,CUST0004704,BR0047,Savings,Active,2026-01-02,1478.16,INR,3.01
ACC00000298,CUST0004465,BR0048,Savings,Active,2019-01-12,26086.05,INR,3.71
ACC00000299,CUST0000301,BR0018,Savings,Active,2020-06-09,41928.77,INR,4.98
ACC00000300,CUST0008909,BR0022,Savings,Active,2019-01-22,433730.18,INR,7.82
ACC00000301,CUST0006043,BR0010,FD,Active,2022-08-04,5939.14,INR,7.24
ACC00000302,CUST0005067,BR0014,RD,Active,2025-12-06,9911.1,INR,5.07
ACC00000303,CUST0009568,BR0046,FD,Active,2020-05-13,2560.64,INR,7.96
ACC00000304,CUST0000195,BR0031,Savings,Active,2018-10-12,4697.0,INR,7.09
ACC00000305,CUST0001329,BR0035,Current,Active,2022-04-24,84286.91,INR,5.83
ACC00000306,CUST0006394,BR0046,FD,Active,2026-01-06,11431.81,INR,3.12
ACC00000307,CUST0004354,BR0002,Savings,Active,2018-08-01,740893.36,INR,5.23
ACC00000308,CUST0007134,BR0002,Current,Dormant,2025-05-27,3950.71,INR,7.14
ACC00000309,CUST0007389,BR0035,Savings,Active,2018-04-03,157023.58,INR,3.11
ACC00000310,CUST0001558,BR0034,Savings,Active,2025-11-21,494612.99,INR,3.21
